일자,제목,키워드,감정라벨,감정점수
2021-01-01,아이폰12 인기에 새해 韓부품사 '훈풍',"아이폰,인기,새해,부품사,훈풍,애플,아이폰12,아이폰,흥행,가도,부품,공급,한국,전자업체,새해,실적,훈풍,전망,카운터포인트리서치,시장,조사,기관,카운터,포인트,리서치,애플,점유율,글로벌,스마트폰,시장,점유,20.8%,21.3%,5년,점유율,최고,점유,기록,아이폰12,흥행,증산,내년,상반기,예정,일본,니혼게이자이신문,외신,애플,아이폰,생산,업체,아이폰12,내년,상반기,아이폰,포함,9500~9600,아이폰,시리즈,9500~9600,제조,계획,하달,상반기,비교,30%,수치,수혜,대표적,부품사,LG이노텍,삼성,LG디스플레이,삼성전기,LG이노텍,애플,카메라모듈,삼성,LG디스플레이,OLED,패널,삼성전기,MLCC,적층세라믹콘덴서,공급,애플,신제품,가을,만큼,애플,부품사,상저,실적,지연,아이폰,출시,분기,부품사,저조,실적,연결,내년,상반기,아이폰12,아이폰13,가칭,효과,보릿고개,전망,LG이노텍,상위급,모델,프로,맥스,프로,모델,수혜,판매,호조,전망,LG이노텍,상위급,제품,트리플,카메라,거리,측정,라이다,LiDAR,센서,공급,제품군,중저,모델,수요,양상,아이폰,판매,아이폰12,모델,프로,비중,판매,모델,비중,23%,프로,맥스,29%,,프로,23%,50%,중저,모델,미니,Mini,7%,연구원,주민우,메리츠증권,비우호적,환율,환경,아이폰,프로,수요,견조,프리미엄,모델향,공급,LG이노텍,긍정적,결과,LG,애플,중소,올레드,OLED,사업,중요,수익처,삼성전기,기기,사용량,대비,기기,MLCC,20~30%,호조,아이폰,판매,수익성,직결,변수,삼성전자,내년,상반기,갤럭시,출시,판매량,영향,연구원,김지산,키움증권,아이폰,시리즈,수요,이연,미국,통신사,프로모션,뒷받침,전작,아이폰,성적,강세,아이폰,판매,내년,삼성,대응,출시,갤럭시,시리즈,경쟁,프리미엄폰,심화",neutral,2.9999926741438685
2021-01-01,[매경데스크] 디지털테크 기업이 답해야할 것들,"디지털,테크,기업,것들,새해,다짐,아들,녀석,디지털화,거대,플랫폼,기업,알고리즘,아들,구출,아날로그,감성,공유,욕심,디지털,테크,기업,데스크,이율배반적,부모,마음,판단,위로,2년,초등학교,입학,꼬마,유튜브,동영상,게임,얼굴,정도,모습,충격,게이츠,스티브,잡스,재산,자녀,아이패드,스마트폰,생각,탈디지털,저항,궤도,수정,극복,대상,화두,고민,생각,디지털,테크,기업,과도,집중,분열,진원지,코로나19,팬데믹,불균형,구글,페이스북,아마존,애플,빅테크기업,예상,초호황,비즈니스,모델,인간,의존,대박,다수,콘택트,일자리,자리,언택트,이익,극대화,구조,재택근무,식당,온라인,배달,업체,극장,폐쇄,온라인,개봉,OTT업체,시내,매장,대체,온라인,쇼핑몰,이익,차원,자유,평등,투명,세상,히피,문화,실리콘밸리,주도,빅테크,변심,걱정,사이버,공간,필터,세상,필터,순간,인간,자신,의견,지속적,재확인,확신,필터,첨단,인공,지능,착각,범람,정보,홍수,가짜뉴스,스마트폰,존재,전락,첨단기술,공개,알고리즘,노하우,포장,주가,대마불사,Big,Fail,오만,월가,모습,연상,세계,디지털,테크,현장,첨단기술,오만,반격,본격화,조짐,빅테크,인류,통합,인류,시야,극단,분열,목소리,이익,집중,인간,정보,집중,역작용,주장,최고경영진,디지털,테크,기업,최고,경영진,새해,화두,얘기,개인,데이터,소유,빅테크기업,독과점,여파,디지털,전쟁,의견,통제,급성장,정부,규제,필요성,소리,혁신,소리,산업,현실,소리,비아냥,반응,분기,역대,최고,실적,질주,혁신,분열,테크기업,최고,디지털,테크,기업,최고경영자,20년,아이디어,회사,대박,불가능,사람,해답,혁신가들,세대,혁신가,탄생,공정,경쟁,사업,실력,승부,세상,경쟁",neutral,2.9999625103591825
2021-01-02,"""LG디스플레이, 강세 유지 전망 실적 개선 기대감""","LG디스플레이,전망,강세,유지,실적,개선,기대감,LG디스플레이,상반기,개선,LCD,사업,강세,유지,전망,SK,증권,LG디스플레이,투자의견,매수,유지,목표주가,2만,상향,SK증권,부족,LCD,공급,상반기,지속,가능성,연구원,김영우,SK,증권,LG디스플레이,LCD,액정표시장치,TV,활황,LCD,패널,2021년,가동,일본,NEG,Nippon,Electric,Glass,정전,사태,글래스,공급,부족,긍정,영향,전망,미국,하원,성인,달러,지급,경기부양책,통과,강세,전방,수요,긍정적,전망,요소,애플,아이폰,판매,중소형,올레드,판매,예상,아이폰,판매량,18~20%,성장,전망,이동,통신,생산,설비,부족,투자,상황,지적,대형올레드,미니LED,QLED,조합,LCD진영,도전,예상,연구원,광저우,올레드,공장,생산량,확대,공급량,상황,수요,창출,보급,올레드,TV,전략,공격,가격,예상",positive,4.999661955698684
2021-01-03,"LG디스플레이 목표가 줄상향 ""실적 턴어라운드 기대""","LG디스플레이,줄상향,실적,턴어라운드,향상,LCD,판매,가격,OLED,가동,증가,신금투,2만,제시,LG디스플레이,LCD,패널,가격,상승,OLED,가동,증가,실적,턴어라운드,전망,증권가,조정,주가,상향,한국,거래소,외국인,기관투자자,31일,LG,디스플레이,주식,290억,435억,원어치,LG디스플레이,종목,매수,상위,이름,주가,21%,급등,LCD,TV,패널,가격,실적,증가,기대감,풀이,수익,확보,중요,변수,LCD,TV,패널,가격,통상적,비수기,상반기,영업이익,개선,전망,LCD,패널,가격,상승세,1분기,예상,TV,중심,LCD,판매,호조세,정전,일본,NEG,유리,기판,핵심,부품,드라이버,IC,PMIC,공급,부족,수급,LCD,패널,타이트,유기,발광,다이오드,OLED,가동,신규,라인,물량,최대,80%,증가,투자,매력,3분기,중국,광저우,OLED,양산,물량,증가,예측,판매,가격,모바일,OLED,출하량,증가,기대감,연구원,김영우,SK,증권,플라스틱,OLED,최대,고객,애플,아이폰12,판매,호조,18~20%,전년,대비,18~20%,가량,성장,추정,중국,BOE,애플,공급망,진입,가능,요인,전망치,연간,실적,전망,상향조정,금융,정보,업체,에프앤가이드,증권가,LG디스플레이,영업이익,6120억,예상,영업,이익,전망,4718억,비교,개선,구체적,한화투자증권,LG디스플레이,실적,추정,상향,대비,71%,7055억,제시,신한금융투자,1조,추정치,7880억,27%,목표주가,상향,조정,제시,IBK투자증권,직전,13%,2만,제시,한화투자증권,직전,21%,2만,제시,신한금융투자,2만,5%,연구원,김운호,IBK,투자,증권,영업,이익,시장,예상,상회,LCD,패널,가격,상승세,가동,OLED,신규,라인,외형,성장,발판,마련,설명",positive,4.999647746684786
2021-01-04,"SK하이닉스, 수요ㆍ공급 모두 뒷받침해주는 업황 호조 ‘목표가↑’-유진투자증권","SK하이닉스,수요,공급,뒷받침,업황,호조,유진투자증권,유진투자증권,SK,하이닉스,예상,양호,수요,공급,가격,반등,전망,판단,목표주가,12만,14만,상향,투자,의견,매수,유지,연구원,이승우,유진투자증권,전반,수요,호조세,지속,PC,수요,견조,추세,예상,수요,애플,아이폰,예상,상황,지난달,마이크론,대만,공장,정전,사고,발생,공급,상황,DRAM,가격,전망,상향,요인,시클리컬,경기민감주,업종,특성,감안,제품,가격,구간,방향,변화,밸류에이션,집착,공격적,투자,전략,조언,연구원,SK하이닉스,시가,총액,기업,영업,이익,증가,5위,주가,상승,실적,개선,평가,의미,전망",positive,4.999616884007992
2021-01-04,"SK하이닉스, IT 수요 호조세 지속 목표가↑-유진","SK하이닉스,수요,호조세,지속,유진,유진투자증권,SK,하이닉스,전반,수요,호조세,목표주가,12만,14만,조정,16.7%,상향,투자의견,매수,유지,연구원,이승우,유진투자증권,예상,PC,수요,견조,추세,수요,애플,아이폰,예상,상회,전반,수요,호조세,지속,공장,마이크론,대만,정전,사고,공급,예상,비교,전망,디램,가격,상향,요인,설명,연구원,변화,요인,전망치,SK,하이닉스,실적,전망,멀티플,상향,시클리컬,업종,특성,감안,가격,제품,구간,방향,변화,밸류에이션,집착,공격적,투자,전략,강조,SK하이닉스,31조,매출,영업,이익,전년,대비,증가,18%,,81%,주가,1년,26%,상승,연구원,시가,총액,기업,기업,영업,이익,증가,5위,랭크,주가,상승,꼴찌,기록,실적,개선,평가,가능성,사이클,메모리,상승세,예상,반도체,업황,글로벌,경제,대비,과도,정도,개선,달러,약세,2020년,평균,1080~1090원,감안,시장,SK하이닉스,실적,측면,설명,연구원,SK하이닉스,매출,33조,영업이익,6조,전년,대비,증가,6%,,40%,시장,평균,실적,전망,가격,방향,구간,진입,실적,조언",positive,4.999604781456583
2021-01-04,"[리포트 브리핑]SK하이닉스, 'DRAM 가격의 방향 변화 가능성이 갖는 의미는?' 목표가 140,000원 - 유진투자증권","SK하이닉스,DRAM,가격,가능성,방향,변화,가능,의미,140,000원,유진투자증권,로보뉴스,유진투자증권,SK,하이닉스,DRAM,가격,가능성,방향,변화,가능,의미,투자,의견,BUY,유지,신규,리포트,발행,140,000원,기준,전일,종가,종목,주가,대비,18.1%,추가,상승,여력,해석,가능,SK,하이닉스,리포트,유진투자증권,SK하이닉스,예상,PC,수요,견조,추세,수요,애플,아이폰,예상,상회,전반,수요,호조세,지속,공장,마이크론,대만,정전,사고,공급,예상,비교,전망,DRAM,가격,상향,요인,메모리,사이클,상승세,예상함,유진투자증권,SK,하이닉스,실적,매출,31.7,영업,이익,4.9,전년비,증가,18%,,81%,주가,1년,26%,상승,매출,33.6,6%,영업이익,6.9,40%,시장,평균,실적,전망,SK,하이닉스,직전,대비,변동,상향조정,120,000원,140,000원,16.7%,유진투자증권,1년,최고,최고,제시,애널리스트,유진투자증권,이승우,종목,제시,140,000원,발행,유진투자증권,직전,대비,16.7%,증가,가격,1년,종목,유진투자증권,제시,제시,하락,최저,98,000원,제시,리포트,상승,가격,140,000원,제시,SK하이닉스,컨센서스,비교,평균,134,167원,평가,유진투자증권,긍정,대비,컨센서스,낙관,변화,3개,상향,조정,증권사,유진투자증권,제시,140,000원,6개월,4.3%,대비,4.3%,증권사,최고,케이프투자증권,160,000원,12.5%,유진투자증권,증권사들,SK하이닉스,주가,비교,평가,의미,참고,6개월,증권사,평균,134,167원,평균,직전,평균,대비,19.5%,상승,SK하이닉스,주가,증권사들,전체적,낙관적,기사,뉴스핌,금융,AI,전문,기업,씽크풀,공동,알고리즘,기사,자동,생성,실시간,작성",neutral,3.0928279161453247
2021-01-04,[인더머니] 2021년 우리 삶을 바꿀 새 기술들,"2021년,2020년,감염증,신종,코로나바이러스,코로나19,등장,인류,속수무책,대반격,혁신,바탕,월스트리트저널,WSJ,2일,현지시각,2021년,핵심,혁신,9가지,혁신,소개,웹캠,마스크,변신,코로나,바이러스,마스크,웹캠,세정제,그간,밀접,제품들,의존,촉발,발전,삼성,출시,예정,갤럭시,스마트폰,비디오,녹화,통화,개선,일상,필수품,마스크,블루투스,마이크,공기청정기,탑재,전망,개선,노트북,성능,노트북,성능,향상,재택근무,학습,보편화,노트북,수요,급증,애플,자체,M1,탑재,맥북,2022년,라인업,자사,프로세서,계획,강조,레노버,에이서,마이크로소프트,안드로이드,프로세서,탑재,퀄컴,장착,윈도우,노트북,크롬,OS,출시,시작,크리스티아노,아몬,퀄컴,사장,제조업체들,윈도우,PC,제조,업체,퀄컴,노트북,협력,모델,5G,확보,거실,할리우드,넷플릭스,경쟁자들,등장,픽처스,유니버설,극장들,트롤,월드투어,작품,VOD,극장,VOD,동시개봉,애플,TV,플랫폼,달러,디지털,경신,뮬란,투자,디즈니,디즈니,스트리밍,서비스,작품,공개,원더우먼,크리스마스,시즌,HBO,Max,미국,극장,체인,회사,AMC,관객수,감소,미국,극장,체인,리걸,시네마스,Regal,Cinemas,장소,폐쇄,현실,지원,안경,증강현실,단계,스마트,안경,출시,진전,페이스북,제품,출시,예정,출시,마이크로소프트,렌즈,증강현실,AR,헤드셋,지배적,원격,전문,기업,업스,CEO,브라이언,밸러드,증강,Argumented,지원,Assisted,강조,텍스트,이미지,비디오,피드,사람,시야,투영,현실,지원,안경,가치,평가,원격,운동,원격진료,마케팅,리서치,회사,게이지,건강,피트니스,다운로드,상반기,세계적,46%,증가,사치품,연결,피트니스,장비,체육관,수요,바이크,스마트,스핀,트레드밀,펠로톤,3배,전년,대비,매출,병원,원격,의료,구축,전화,대화,비디오,메시지,사용,코로나19,환자,접촉,최소화,프로바이더,가상,진료,서비스,플러스케어,PlusCare,환자,가입,460%,증가,3월,연방,당국,제공자들,의료,서비스,제공자,페이스타임,페이스북,메신저,스카이프,검진,규정,건강,개인,정보,보호,완화,온라인쇼핑,등장,온라인쇼핑,아마존,공식,코로나19,10년,전자,상거래,규모,분기,가능,월마트,쇼핑,기업,온라인,플랫폼,구축,치열,구독,경제,호황,서비스,구독화,비디오,스트리밍,서비스,식료품,배달,클라우드,저장소,구독,범위,구독료,오름세,넷플릭스,인기,스트리밍,계획,12.99달러,13.99달러,11월,구글,계층,무료,포토,스토리지,디즈니,3월,디즈니,월간,가격,6.99달러,7.99달러,원격,근무,활성,코로나19,비용절감,사무실,회사들,존재,원격,근무,직원들,회사들,비용,사무실,공간,절감,효과,입증,2021년,원격,하이브리드,업무,활성화,전망,미국,전기차,성장세,전기차,승용,스타일,스포츠유틸리티차량,SUV,진화,여름,스타트업,리비앙,매진,R1T,R1S,SUV,주행,거리,마일,전기자동차,달러,가격,계획,GM,가을예,출시,예정,11만,달러짜리,에디션1,예약,도요타,아우디,재규어,SUV,배터리,구동,출시,추세,전망,회사,글로벌,컨설팅,알렉스,파트너스,미국,시장,출시,전기,플러그,하이브리드,차량,절반,SUV,모델,82개",neutral,2.999994417979906
2021-01-05,"""디스플레이 OLED로 대전환"" 장비株 들썩","디스플레이,OLED,대전환,장비,시장,주가,프리미엄,디스플레이,한국,OLED,유기발광다이오드,패널,탑재,애플,아이폰,1초,10대,태블릿PC,노트북,제조사,OLED,패널,탑재,시작,중소,OLED,패널,호황,추가,투자,예상,만큼,디스플레이,장비,기업,투자,예고LG디스플레이,중소,OLED,설비,투자,예고,LG,디스플레이,하락,1.31%,1만,마감,지난달,비교,23%,흑자전환,증가,아이폰,판매량,호재,작용,애플,5G,5세대,스마트폰,아이폰,시리즈,모델,OLED,패널,탑재,중소,OLED,시장,강자,삼성디스플레이,후발주자,LG디스플레이,애플,OLED,패널,전량,납품,아이폰12,역대,기록,시장,조사,업체,스트래티지애널리틱스,SA,아이폰,판매량,5200만,신한금융투자,아이폰,OLED,패널,출하량,증가,대비,60~80%,예상,미국,중국,판매,스마트폰,폭발적,전망,OLED,패널,LCD,액정표시장치,비교,명암비,색재현율,우수,응답,속도,스마트폰,특화,스마트폰,디스플레이업계,제조사,프리미엄,노트북,OLED,패널,판매,수요,게이밍,노트북,HP,아수스,HP,업체들,글로벌,노트북,업체,OLED,탑재,노트북,연구위원,소현철,신한금융,투자,위원,판매,OLED,노트북,급증,애플,LCD,아이,패드,전략,LCD,맥북,시리즈,디스플레이,변화,예상,업체들,디스플레이,업체,중소,OLED,투자,검토,위원,업체,OLED,장비,관심,시점,에스에프에이,AP시스템,추천,부진,디스플레이,업황,회사,주가,수준,회복,주식운용본부장,전경,맥쿼리투자신탁운용,주식,운용,본부장,CIO,시대,시장,산업,중소,OLED,산업,시장,성장,분야,설명,엑시노스,AP,점유,확대,주목,글로벌,시장,확대,시장,점유,예상,산업,서플라이,체인,주목,키움증권,삼성전자,프로세서,모바일,애플리케이션,AP,엑시노스,시리즈,시장,점유,확대,전망,엑시노스,시리즈,2017년,시장,성과,상반기,출시,엑시노스,성능,자사,스마트폰,갤럭시,시리즈,점유율,16%,16%,삼성전자,글로벌,AP,시장,점유,12%,하락,반격,연구원,박유악,키움증권,주력,제품,엑시노스,공정,경쟁력,제품,성능,가격,경쟁력,시장,점유,회복,전망,설명,하이엔드,제품,엑시노스,경쟁작,퀄컴,스냅,드래곤,대등,성과,성능,가격,경쟁력,점유율,확대,전략,중급,제품,엑시노스1080,갤럭시,시리즈,중국,샤오미,오포,비보,탑재,시장,중국,스마트폰,공략,키움증권,체인,엑시노스,서플라이,하나마이크론,네패스아크,테스나,주목,조언,하나마이크론,테스트,엑시노스,패키지,네패스아크,테스나,테스트,엑시노스,EDS,분담,예상,연구원,1분기,엑시노스,출시,효과,만큼,만큼,기업,실적,연초,성장세,전망",positive,3.8709224462509155
2021-01-05,[자이앤트레터] 버핏 베이조스 다이먼이 뭉쳤는데 실패? 의료벤처 경영중단,"버핏,베이조스,다이먼,실패,의료,벤처,경영,중단,한파,코스피,한국,증시,새해,거래일,뉴욕증시,냉기,백신,중국발,코로나바이러스,COVID-,변이,악재,이야기들,개장,1.,새해,뉴욕증시,하루,3대,악재,2.,테슬라,질주,50만,주가,3.,테슬라,시장,자율주행,전기차,열풍,SPAC,투자,4.,헤이븐,버핏,베이조스,다이먼,의료벤처,5.,랠리,트럼프,리틀,백악관,공보국장,투자,6.,상원,결선,투표,관전,포인트,달러,약세,새해,개장,뉴욕증시,하루,3대,악재,새해,거래일,거래일,뉴욕,증시,분위기,전반적,대표,주가,지수,1%이상,유럽증시,상승,마감,다행,분위기,중국발,코로나바이러스,COVID-,확산,영국,전국,봉쇄,선언,4일,현지시간,글로벌,증시,당장,가지,변수,부각,미국,조지아주,선거,상원,의원,선거,증가,영국,코로나19,변종,결정,전국,봉쇄,고조,합의,위반,수위,석유,OPEC,연기,원유,생산량,결정,회의,미국,대통령,공화당,소속,도널드,트럼프,정부,전화,대선,부정,청탁,소식,5일,현지시간,조지아주,직전,상원,결선,투표,공화당,불리,소식,조지아주,선거,상원,다수당,결정,중요,기점,뉴욕증시,공화당,결선투표,승리,긍정적,한편,민주당,승리,전망,분위기,이날,뉴욕,증시,중심,제조업,다우존스,산업,평균,지수,1.25%,3만,대형주,중심,스탠더드앤드푸어스,S&P,지수,1.48%,3700.65,중심,나스닥,종합,주가,지수,1.47%,1만,기업,정보,공룡,애플,AAPL,2.47%,아마존,AMZN,2.16%,마이크로소프트,MSFT,2.13%,페이스북,FB,1.54%,주가,하락,이란,이날,우라늄,농축,농도,20%,작업,이란,위기,이란,대변,이란,정부,알리,라비에이,방송,이날,이란,농도,우라늄,농축,20%,절차,포르,농축시설,시작,국제원자력기구,IAEA,확인,20%,이란,JCPOA,공동행동계획,제한,농축,한도,수준,이란,혁명,수비대,걸프,해역,페르시아만,한국케미,한국,선박,나포,미국,긴장,구도,리스크,중동,지정학,고조,상황,OPEC,석유수출국기구,비회원,산유국,협의체,원유,생산량,합의,회의,연기,소식,사우디아라비아,OPEC,맏형,기조,생산량,감축,러시아,생산량,이견,바람,회의,2월,영국,한편,총리,보리스,존슨,대국민,연설,자정,전국,봉쇄,중국발,코로나19,본격적,세계,전국,봉쇄,코로나19,확산,리스크,중동,지정학,이날,뉴욕상업거래소,NYMEX,선물시장,원유,서부,테가스산,WTI,2월,직전,거래일,1.9%,47.62달러,마감,런던,ICE,선물,거래소,브렌트유,1.5%,달러,기록,한국,국민,주식,테슬라,질주,50만,주가,한국,기관,투자자,서학개미,해외증시,투자,개인,투자자,사이,1위,매수,인기,테슬라,미국,전기차,4일,현지시간,뉴욕증시,테슬라,TSLA,주가,직전,거래일,3.42%,1주,729.77달러,79만,거래,판매량,50만,예상,주가,50만,주가,테슬라,전기차,판매량,소비자,인도,기준,49만,50만,목표치,중국발,코로나바이러스,COVID-,사태,판매량,18만,분기,사상,최고,기록,시장,평가,결과,모양,테슬라,주식,90달러,월가,투자,은행,JP,모건,이날,주가,이날,105달러,긍정적,영향,이날,JP,모건,투자의견,매도,유지,4분기,10~12월,테슬라,전기차,인도,실적,반영,예측치,상향,설명,테슬라,시가,총액,6917억,달러,749조,기록,다우존스마켓데이터,테슬라,시가총액,1000억,달러,2000억,달러,2000억,달러,3000억,달러,13일,달러,27일,달러,63일,6000억,달러,8일,전문지,테슬라,테슬매니안,헐리우드,유명,배우,크루즈,스페이스X,유인우주,드래건,탑승,우주,비행,보도,눈길,스페이스X,세계,민간,우주선,발사,창업자,최고경영자,일론,머스크,스페이스,창업자,최고,경영자,CEO,언급,항공우주국,미국,항공,우주국,NASA,크루즈,정거장,국제,우주,ISS,영화,제작,민간우주탐사업체,스페이스X,테슬라,공동,창업자,최고경영자,CEO,일론,머스크,창업,CEO,기업,열풍,테슬라,투자,스페이스,기대감,반영,제2,테슬라,시장,자율주행,전기차,열풍,SPAC,투자,열풍,테슬라발,차세대,자동차,투자,열풍,4일,현지시간,뉴욕증시,기업인수목적회사,SPAC,인터프라이빗,종목코드,IPV,주가,직전,거래일,12.95%,16.40달러,마감,전기차,상관,회사,합병,우회상장,라이다,센서,업체,아에바,홍콩,헤지,펀드,2억,달러,투자,소식,아에바,가치,시장,평가,30억,달러,업체,엔지,애플,출신,공동,창업,라이다,자량,주변,환경,부품,레이저,감지,요소,자율,주행차,핵심,애플,자율,주행차,출시,미지수,애플카,라이다,센서,장착,소식,한편,납품업체,애플,아이폰,유명,테크놀로지,대만,폭스콘,중국,전기,자동차,스타트업,바이튼,전략,협력,소식,4일,현지시간,중국,바이튼,성명,1~3월,M-바이트,자사,모델,바이트,대량,생산,협력,계약,통신,이날,블룸버그,폭스콘,2억,달러,2165억,벤처,투자,공식적,언급,상태,폭스콘,애플,의존도,사업,다각화,차원,비트코,랠리,트럼프,리틀,백악관,공보국장,투자,달러,새해,3만,달러,암호,화폐,대장,비트코,시세,분위기,비트코,시세,24시간,한국,시간,기준,7%정도,3만,달러,기록,달러,한국증시,위지트,비덴트,우리기술투자,암호,화폐,관련주,비트코,거품,논란,4일,현지시간,미국,헤지펀드,투자사,스카이브리지,30억,달러,규모,비트코,투자,펀드,출시,회사,3100억,달러,어치,비트코인,보유,트럼프,리틀,측근,도널드,트럼프,미국,대통령,앤서니,스카라무치,백악관,공보국장,창업,스카라무치,원래,암호화폐,회의적,스탠리,드루켄밀러,존스,튜더,분들,비트코인,투자,페이팔,PYPL,0.97%,스퀘어,SQ,1.58%,핀테크업체들,자사,플랫폼,비트코,거래,마음,비트코인,급등락,암호,화폐,시세,손실,펀드,포트폴리오,비트코,노출,비중,1%,확장,생각,헤지,펀드,리서치,암호,화폐,투자,헤지,펀드사,수익,52%,1년,기간,대비,투자,수익,156%,급증,비트코인,인기,채굴,업체,주가,뉴욕,증시,비트디지털,BTBT,33.59%,마라톤특허,MARA,5.46%,급등,라이엇블록체인,RIOT,3.00%,하락,업체,주가,1주일,변동성,투자,주의,굿바이,헤이븐,버핏,베이조스,다이먼,의료벤처,투자,귀재,회장,워런버핏,버크셔해서웨이,플랫폼,세계,최대,온라인,상거래,아마존,창업자,최고경영자,제프,베이조스,창업자,최고,경영자,CEO,투자,은행,JP모건,제이미,다이먼,CEO.,의료,벤처,회사,경영,중단,4일,현지시간,건강,안식처,헬스,의료,벤처,업체,헤이븐,운영,중단,버크셔,BRK.B,1.58%,아마존,AMZN,2.16%,JP모건,JPM,0.88%,근무,직원들,업체,공동,비용,출자,의료,서비스,다이먼,CEO,아이디어,창립,업체,협력,유지,입장,아마존,2019년,시애틀,직원들,시애틀,직원,가상,진료,클리닉,모바일,서비스,간호사,직원,파견,방안,검토,개별적,11월,직원,가입,회원,대상,서비스,온라인,약국,출시,별도,사업,준비,조지아주,상원,의원,결선,투표,관전,포인트,달러,약세,5일,현지시간,미국,조지아주,상원,의원,결선투표,상관,애플,아마존,페이스북,투자,중요,변수,하원,민주당,장악,435석,민주당,상원,공화당,50석,민주당,48석,확보,상황,2석,다수당,조지아주,결선,투표,결과,정보기술,주가,공룡,기업,미국,달러,국채,가격,움직임,미국,달러화,약세,전망,공통적,상대적,기조,원화,강세,예상,가능,민주당,2석,상원,다수석,존재,위주,사실,민주당,부양책,추가,경기,법인세,인상,인프라,지원금,규모,정당,실질적,투표권한,부통령,민주당,카말라,해리스,부통령,당선자,결선투표,조지아주,상원,결선,투표,정당,전체적,결국,민주당,승리,상황,주식시장,부정적,전망,오펜하이머,증권,민주당,승리,스탠더드앤드푸어스,S&P,지수,중심,주식,시장,시세,10%,전망,인버니스카운슬,최고투자전략가,그리스키,최고,투자,전략가,블루웨이브,민주당,하원,다수당,전문,투자자,거래,중개인들,공격적,주식,매도,국채,제프리스,증권,연구원,크리스,우즈,부양책,규모,재무부,재정,조달,국채,발행,국채,가격,수익률,언급,실물,경제,민주당,민주당,부양책,경제,회복,의견,텔베켄캐피털,최고경영자,마이클,퍼브스,최고,경영자,CEO,민주당,승리,시나리오,달러화,가치,법인세,인상,성장,둔화,언급,민주당,당선자,법인세,인상,독점,규제,친환경,정책,강조,금융,정유사,기업들,화석,에너지,기업,바이든,당선자,과거,법인세율,21%,28%,인프라,달러,지출,환경,석유,기업,보조금,입장,정부,부양책,경기,예정,민주당,주도,하원,통과,지원,대상,항공,중소형,유통업체들,호재,의회,8920억,달러,규모,임시,경기,부양,법안,통과,당선자,지원액,취임,부양책,계약금,수준,공화당,2석,주식,시장,긍정적,입장,일례,오안,증권,전략가,에드워드,모야,시장,수석,투자자들,포트폴리오,수정,규모,경기,부양책,시나리오,민주당,승리,발행,재무,국채,상대적,국채,수익,가능성,전문가들,판단,공화당,생각,규모,경기,부양책,민주당,단기적,가시적,효과,리스크,법인세,인상,측면,경제,성장,긍정적,평가,결과,금요일,유명,도박,사이트,프레딕틀트,도박사들,공화당,승리,지위,상원,다수당,유지,가능성,평균,60%",neutral,2.821680506283883
