일자,제목,키워드,감정라벨,감정점수
2023-01-01,"이름 바꾼 코스닥 기업 68곳 중 44곳, 악재 겪고 사명변경","이름,68곳,코스닥,기업,44곳,악재,사명변경,쌍용차,인수,의혹,에디슨EV,스마트솔루션즈,사명,변경,회사,관계사,에디슨모터스,쌍용차,인수전,동원,회사채,발행,검찰,주가,폭등,유도,불법,이익,취득,강영권,에디슨,EV,대표,구속,기소,에스에이치엔엘,반도체,부품사,아래스,상장,폐지,심사,목적,이익,혐의,검찰,고발,사업,플랜트,설비,에이치엘비파워,티에스넥스젠,사명,변경,영업이익,기준,영업,이익,적자,기록,상태,자본,잠식,중앙일보,한국,거래소,전자,공시,공시,결과,사명,코스닥,업체,68곳,영문,철자,오자,변경,기업,제외,숫자,사명,업체들,사업,다각,회사,분할,합병,투자자,입장,혼돈,사명,기업,실적,악화,경영,분쟁,경영진,형사,기소,악재,기업,44곳,64%,차지,이름,회사,12개,수성이노베이션,EV수성,수성샐바시온,상호,변경,스마트솔루션즈,관계사,유앤아이,에디슨이노,이노시스,상호,스포츠,NFT,스포츠,대체불가토큰,사업,블루베리NFT,코스닥,상장,기업,블루베리,NFT,주주총회,지난달,주주,총회,사명,블레이드엔터테인먼트,변경,공시,회사,전신,세계,콘돔,제조사,유명,유니더스,2017년,신규,사업,인수,합병,M&A,이름,차례,바이오제네틱스,2017년,경남바이오파마,2020년,블루베리,NFT,사명,사명,변경,기업,목적,투자자,보호,발생,상장,폐지,사유,거래,정지,기업,8곳,정지,해제,포함,15곳,상장,폐지,업체,3곳,상태,자본,잠식,기업,5곳,사명,변경,기업,악재,의도,애플컴퓨터,아이폰,출시,사명,애플,개인,컴퓨터,PC,업체,테크기업,소비자,인식,일조,기업,이미지,장점,현대중공업그룹,사명,HD현대,변경,KG그룹,주인,쌍용차,KG모빌리티,이름,납득,사명,변경,투자자,불안감,전문가들,규모,정관,변경,상대적,코스닥,업체,사명,변경,악용,사례,투자,주의,지적,김대종,세종대,경영학,교수,횡령,발생,기업,착각,바이오,유망,업종,사명,우량,기업,이름,투자,이력,과거,회사,확인",negative,1.388811017095577
2023-01-02,"LG, 전장 배터리 미래투자 더 늘린다","LG,전장,배터리,미래투자,LG그룹,선택,집중,경영,회장,구광모,LG,색채,전망,회장,취임,경쟁력,사업,정리,미래먹거리,사업,심혈,육성,회장,수년,역점,전장,배터리,분야,성과,주목,미래,먹거리,적극,육성,2일,산업계,LG그룹,2026년,계열사별,106조,투자,투자,계획,회사,관계자,회장,분야,전장,배터리,차세대,디스플레이,바이오,미래사업,육성,투자,결정,설명,LG전자,자동차부품솔루션,VS,사업본부,본격적,분기,연속,적자,행진,VS사업본부,영업이익,기록,흑자,전환,성공,3분기,961억,영업이익,실적,개선세,업계,LG전자,VS사업본부,가전,TV,주력,사업,어깨,부서,발돋움,예측,DS투자증권,VS사업본부,전망치,연간,영업,이익,전망,4313억,제시,TV,사업,홈엔터테인먼트,사업본부,3652억,실적,관측,LG전자,연말,단행,임원인사,전장,전장,출신,임원,승진,대대적,조직,개편,전장,사업,계열사,LG에너지솔루션,중국,업체,제외,시장,전기차,배터리,1위,LG디스플레이,선두,세계,차량,디스플레이,분야,차지,자동차,모터,센서,카메라,모듈,생산,LG이노텍,사업,전장,흑자,전환,성공,사업,개편,회장,계열사별,수익,강화,초점,체질,개선,계획,조명,LED,LG이노텍,LCD,소재,사업,LG화학,태양광,사업,휴대폰,사업,MC사업본부,정리,생산,LCD,TV,패널,LG디스플레이,경쟁력,사업,철수,부가,가치,분야,집중,수익성,강화,복안,업황,악화,부진,성적표,LG디스플레이,본격적,체질,개선,업체들,중국,디스플레이,업체,저가,공세,사업,LCD,출구전략,속도,예정,유일,우상향,곡선,차량,OLED,유기발광다이오드,사업,필두,투명,게이밍,OLED,성장,동력,출시,예고,가상현실,XR,기기,겨냥,디스플레이,속도,예정,LCD,분야,수익성,보전,하이엔드,LCD,LCD,LG이노텍,수익,강화,사업,재편,시작,1조,주력,제품,카메라,모듈,광학부품,투자,결정,대표적,자기자본,3조,수준,대비,50%,투자,증권가,투자,아이폰,시리즈,하이엔드,모델,변화,카메라,사양,대응,풀이,애플,고객사,LG이노텍,광학,솔루션,사업,본부,10조,기준,매출,기록,회사,매출,80%,광학,솔루션,사업,본부",neutral,3.0202963741030544
2023-01-02,‘중국발 경기침체’ 경고음 다시 커진 글로벌 공급망 타격,"중국,경기,침체,경고음,타격,글로벌,공급망,IMF,총재,권역,경기,둔화,코로나,급속,확산,혼란,애플,매출,급감,테슬라,공장멈춰,세계,경제적,타격,직면,다보스포럼,경제,시선,크리스탈리,게오르기에바,사진,국제통화기금,IMF,총재,1일,현지시간,미국,중국,유럽,세계,경제,권역,경기,둔화,중국발,글로벌,침체,가능성,방점,중국,당국,준비,부족,상황,코로나,정책,폐기,중국,침체,현지,생산,시설,글로벌,제조,업체,공급망,세계,가능성,미국,노동시장,바탕,경기침체,전망,파이낸셜타임스,FT,게오르기에바,총재,CBS,이날,미국,인터뷰,시진핑,習近平,중국,국가주석,봉쇄,정책,철회,중국,코로나19,급속,확산,중국,단기적,경제,타격,직면,의미,40년,중국,연간,성장,성장률,세계,경제,성장,가능성,지역,글로벌,성장,부정적,영향,강조,해제,코로나,정책,세계,공장,중국,혼란,공급망,세계,실제,FT,매출,20%,아이폰,생산,90%,중국,의존,애플,순이익,지난,감소,연속,분기,매출,성장세,테슬라,중국,코로나19,확산,상하이,上海,공장,운영,31일,춘제,春節,연휴,가동,중단,예정,중국발,글로벌,경기,침체,가능,20일,스위스,세계,경제,포럼,WEF,세계경제전망,반영,전망,2.9%,2.7%,세계,경제,성장,전망,IMF,전망,미만,조정,가능성,상황,로이터통신,1970년,세계,경제,성장,미만,기록,차례,코로나19,글로벌,공급망,붕괴,2020년,3.5%,금융위기,2009년,0.8%,경기,최악,상황,의미,총재,게오르기에바,미국,노동,시장,덕분,최악,경기침체,전망,연방,Fed,지속,긴축,미국,기준,실업률,3.7%,상태,사실,완전,고용,유지",negative,1.0063227070204448
2023-01-02,[이번주 추천주] 새해엔 中수혜주가 대세 대웅제약 LG이노텍 쏠리드 등 기대,"새해,수혜주,대세,대웅제약,LG이노텍,증권사들,새해,불황,기업,활동,중국,경제,정상,수혜,종목들,추천주,제시,미국,연방,준비,제도,Fed,지속,정책,침체,글로벌,경기,위험,자산,선호도,상황,반등,속도,종목,희망,모습,SK,증권,우리금융지주,LG이노텍,CJ제일제당,주목,종목,추천,우리금융지주,은행주,기대감,배당,확대,목표주가,1만,상향조정,내년,경제,불황,밸류에이션,3.0,배당,수익,8.6%,투자,가치,판단,SK증권,밸류에이션,원인,구조조정,영향,과거,초반,한계,산업,구조,조정,부동산,프로젝트,파이낸싱,PF,과거,자산,건전,악화,사례,반복,전망,LG이노텍,지난,실적,악화,모델,아이폰,상위,견조,수요,실적,상향,여지,근거,제시,조치,중국,방역,정책,완화,차질,아이폰,생산,차질,해소,가능성,해석,애플,출시,확장현실,XR,기기,실적,기여,전망,CJ제일제당,성장,해외,가공,견조,미국,피자,푸드,성장,실적,개선,하나증권,대웅제약,카카오게임즈,쏠리드,제시,대웅제약,체결,중국,마케팅,파트너쉽,계약,진행,중국,나보타,기대감,중국,진출,판단,대웅제약,매출액,전년,대비,14.2%,증가,3319억,영업이익,32.5%,증가,301억,기록,카카오게임즈,출시,내년,신작,상승,모멘텀,역할수행게임,RPG,에버소울,1분기,일본,제외,글로벌,지역,출시,예정,모바일,다중,접속,온라인,MMO,신작,아키에이지,아레스,순차,출시,쏠리드,호조,신규,매출,2년,전망,장기,실적,낙관적,확대,오픈랜,시장,주력,분산,안테,DAS,미국,매출,호조세",neutral,3.000070236463216
2023-01-03,"[클릭 e종목]""LG이노텍, 중장기 성장동력 확보 주가모멘텀으로 작용할 것""","LG이노텍,확보,성장,동력,주가모멘텀,작용,유안타증권,LG,이노텍,투자,의견,매수,유지,목표주가,유지,LG이노텍,실적,매출액,6조,영업이익,4254억,예상,매출액,증가,전년,동기,대비,12%,영업이익,하락,수준,사업,영업,이익,카메라모듈,3589억,기판소재,625억,전장부품,16억,추정,연구원,백길현,유안타증권,비용,연말,제외,중국,봉쇄,영향,생산,차질,부진,세트,수요,단기적,실적,부진,LG이노텍,공급처,애플,주가,1개월,12%,하락,LG이노텍,하락,기간,18%,중국,봉쇄,생산차질,아이폰,판매량,10월,감소세,지난,실적,부진,반영,12월,광학,솔루션,사업,강화,목적,1조,규모,신규,투자,양산,연구원,주력,고객사,입지,지속적,중장기,성장,동력,확보,긍정,이벤트,광학,솔루션,중심,투자,고정비,증가,단기,영업,이익,성장,가시,제한적,모멘텀,부재,판단,연구원,장기,성장,방향,성장,동력,가시화,주가,모멘텀,작용,전망",positive,4.994508059462532
2023-01-03,"LG이노텍, 중장기 성장 동력 확보 목표주가 51만원 -유안타證","LG이노텍,성장,동력,확보,목표주가,51만,유안타,유안타증권,LG이노텍,주가,매수,의견,유지,전망치,증권가,평균,전망,하회,실적,예상,모멘텀,주가,상승,판단,유안타증권,LG이노텍,예상,매출액,영업이익,6조,4254억,예상,매출액,전년,대비,12%,증가,영업이익,감소,시장,컨센서스,하회,수치,연구원,백길현,유안타증권,전사,연말,비용,제외,중국,락다운,봉쇄,영향,생산,차질,부진,세트,수요,단기적,부진,전사,실적,평가,LG,이노텍,주가,수요,하락,애플,주가,연동,모습,애플,주가,1개월,1년,대비,12%,,LG,이노텍,주가,동기간,기준,18%,,연구원,중국,락다운,생산,차질,아이폰,판매량,10월,감소세,실적,부진,반영,추정,긍정적,모멘텀,LG이노텍,강화,광학,솔루션,사업,목적,1조,규모,신규,시설,투자,공시,연구원,2023년,양산,캐파,생산능력,확보,폴디드,Folded,Zoom,고사양,카메라,모듈,공급,설비투자,캐펙스,Capex,집행,주력,고객사,입지,지속,중장기,성장,동력,확보,관점,긍정적,이벤트,판단,투자,고정비,증가,성장가시성,단기,영업,이익,성장,가시,제한적,모멘텀,부재,2023년,2025년,방향성,중장기,성장,방향,동력,성장,가시화,주가,모멘텀,작용,전망",positive,4.948909992352128
2023-01-03,"“LG이노텍, 작년 4분기 실적 컨센서스 하회 불가피”","LG이노텍,실적,컨센서스,하회,LG이노텍,실적,시장,컨센서스,하회,전망,연구원,백길현,유안타증권,LG,이노텍,매출액,예상,영업이익,6조,4254억,시장,컨센서스,하회,사업부,영업,이익,카메라,모듈,기판,소재,전장,부품,추정,연구원,애플,공급망,점검,연구원,애플,주가,기준,YTD,하락,12%,,30%,LG,이노텍,주가,기준,YTD,하락,18%,,32%,중국,Lockdown,생산,차질,아이폰,판매량,10월,감소세,부진,실적,반영,추정,설명",negative,1.0006794852379244
2023-01-03,"LG이노텍, 당장은 영업부진 장기적으로는 성장방향 뚜렷 [유안타증권]","LG이노텍,당장,영업부진,장기적,성장방향,유안타증권,유안타증권,LG,이노텍,중국,봉쇄,생산,차질,부진,세트,수요,실적,부진,방향성,중장기,성장,방향,투자의견,매수,목표주가,유지,연구원,백길현,유안타증권,LG이노텍,매출액,예상,영업이익,6조,4254억,시장,컨센서스,하회,사업부,영업,이익,카메라,모듈,기판,소재,전장,부품,추정,연구원,애플,공급망,점검,애플,주가,연간,누적,YTD,기준,하락,12%,,30%,LG,이노텍,주가,기준,YTD,하락,18%,,32%,중국,봉쇄,생산,차질,아이폰,판매량,10월,감소세,부진,실적,반영,추정,설명,LG이노텍,광학,솔루션,사업,강화,목적,1조,규모,투자,신규,시설,공시,고객사,입지,중장기적,성장,동력,확보,긍정적,판단,광학,솔루션,중심심,투자,고정비,증가,성장,단기,영업,이익,제한적,주가,모멘텀,부재,중장기적,성장,방향",negative,1.0009333105408587
2023-01-04,美 온라인광고 구글 메타 점유율 50% 붕괴...틱톡 아마존 상승세,"구글,온라인,광고,메타,붕괴,점유,50%,틱톡,아마존,상승세,광고시장,미국,온라인,광고,시장,체제,구축,구글,메타,페이스북,시장,점유,50%,시장,지배력,월스트리트저널,WSJ,인텔리전스,조사업체,인사이더,미국,온라인,광고,시장,매출,구글,28.8%,메타,19.6%,비중,48.4%,기록,2014년,8년,과반,구글,시장,점유,전년,0.8%,포인트,메타,3.3%,포인트,인사이더,인텔리전스,구글,26.5%,메타,18.4%,비중,축소,비중,44.9%,하락세,전망,조사업체,애널리스트,광고,온라인,플랫폼,증가,현상,설명,메타,점유,애플,아이폰,아이폰,정책,변화,직격탄,애플,애플리케이션,업체,아이폰,이용자,정보,수집,이용자,동의,이용자,동의,거부,이용자,맞춤,광고,제공해,매출,연결,메타,발휘,메타,광고,업체,관계자,메타,신규,고객,비용,애플,정책,변화,2배,판단,메타,집행,광고,절반,동영,공유,플랫폼,틱톡,자사,플랫폼,구매,검색,이력,바탕,맞춤,광고,아마존,세계,최대,전자,상거래,업체,온라인,광고,시장,아마존,온라인,광고,시장,매출,비중,11.7%,12.4%,점유율,전망,아마존,광고,사업,모델,소매,업체,월마트,이베이,엣시,인스타카트,시장,점유,1.4%,정도,사이,인기,틱톡,2021년,0.9%,2022년,2.0%,절대적,수치,성장세,2.5%,비중,전망,광고주들,겨냥,TV,광고,온라인,광고,선호,경향,로쿠,훌루,서비스,온라인,동영상,OTT,점유율,온라인,광고,시장,점유,3.6%,넷플릭스,디즈니플러스,광고,요금,출시,만큼,디지털,광고,시장,OTT,비중,확대,관측,광고,온라인,차지,비중,50%,3분,관측,온라인,광고,시장,성장,수치,하락,추세,WSJ,YTN",positive,4.651195749640465
2023-01-04,"구글 메타, 美 온라인 광고시장 2강체제에서 물러나나...점유율 50% 이하로 '뚝'","구글,메타,온라인,광고,시장,체제,점유,50%,미국,온라인,광고,시장,체제,구축,구글,메타,페이스북,시장,지배력,3일,인텔리전스,리서치,업체,인사이더,미국,온라인,광고,시장,매출,구글,28.8%,메타19.6,비중,48.4%,기록,과반,점유,8년,구글,시장,점유,0.8%,전년,대비,0.8%,포인트,메타,3.3%,포인트,인사이더,인텔리전스,구글,26.5%,메타,18.4%,비중,축소,비중,44.9%,하락세,재커리골드너,애널리스트,광고,온라인,플랫폼,증가,현상,아마존,자사,플랫폼상,구매,검색,이력,바탕,메타,선도,시장,맞춤,광고,영향력,아마존,온라인,광고,시장,매출,비중,11.7%,12.4%,전망,광고,사업,모델,소매,업체,월마트,이베이,엣시,인스타카트,시장,점유,1.4%,정도,비중,사이,인기,틱톡,2021년,0.9%,2022년,2.0%,성장세,2.5%,비중,전망,광고주들,겨냥,TV,광고,온라인,광고,선호,흐름,로쿠,흐름,훌루,서비스,온라인,동영상,OTT,점유율,온라인,광고,시장,점유,3.6%,넷플릭스,디지니플러스,광고,요금,출시,만큼,디지털,광고,시장,OTT,비중,확대,메타,점유,애플,아이폰,아이폰,정책,변화,직격탄,그동안,메타,이용자,맞춤,광고,제공,상품,매출,연결,발휘,아이폰,이용자,정보,수집,이용자,동의,애플,정책,이용자,동의,거부,메타,광고,관계자,건강,제품,업체,메타,신규,고객,유입,비용,애플,정책,변화,2배,메타,집행,광고,절반,동영,공유,플랫폼,틱톡,WSJ,시장,광고,온라인,차지,비중,50%,66%,확대,자체,온라인,광고,시장,성장,하락세",negative,1.2772838324308395
